model;t_birth;lifespan;w_star;zi;x;y;z;ksi
1;-500;1000.0;3.0;1300.0;0.0;500.0;0;0.5
1;-500;860.64;2.8688;1394.57;374.431;-1182.13;0;0.406064
1;-500;841.984;2.80661;1359.67;-430.299;-1312.42;0;0.350958
1;-500;667.635;2.22545;1308.89;6.31234;189.16;0;0.573643
1;-500;1109.53;3.69844;1314.63;386.754;120.653;0;0.603376
1;-500;1165.74;3.88581;1358.65;1494.56;-166.096;0;0.48387
1;-500;993.606;3.31202;1386.95;670.756;296.444;0;0.38945
1;-500;701.607;2.33869;1302.71;785.9;-588.336;0;0.443871
1;-500;853.323;2.84441;1341.58;-1462.61;-348.92;0;0.692177
1;-500;926.098;3.08699;1366.23;148.803;1253.62;0;0.302722
1;-500;928.213;3.09404;1307.68;-817.189;-626.266;0;0.475035
1;-500;996.889;3.32296;1334.19;1146.67;-754.897;0;0.688781
1;-500;1104.86;3.68288;1348.39;-719.112;1493.73;0;0.60395
1;-500;1072.2;3.574;1350.5;-1064.01;459.796;0;0.566291
1;-500;648.898;2.16299;1315.11;-987.915;1281.64;0;0.490725
1;-500;683.484;2.27828;1300.62;1498.11;583.901;0;0.668895
1;108;1115.19;3.71731;1307.41;1497.18;1103.92;0;0.600079
1;149;1197.51;3.9917;1309;-1223.72;-1263.07;0;0.668168
1;168;898.78;2.99593;1388.03;896.29;922.726;0;0.683485
1;184;926.584;3.08861;1343.9;1157.41;226.753;0;0.529858
1;202;989.23;3.29743;1316.25;-263.16;-607.032;0;0.461872
1;342;806.745;2.68915;1340.41;-49.0243;-359.648;0;0.643955
1;354;1195.75;3.98584;1383.13;-916.639;-90.5238;0;0.316232
1;361;958.574;3.19525;1351.33;115.643;515.836;0;0.52063
1;427;862.427;2.87476;1382.66;-747.092;381.752;0;0.368623
1;429;950.302;3.16767;1317.4;1129.13;-296.404;0;0.319966
1;494;860.51;2.86837;1300.09;738.94;236.142;0;0.324949
1;497;1000.27;3.33422;1337.12;119.741;1308.83;0;0.690742
1;573;909.242;3.03081;1313.07;-123.613;-1469.53;0;0.543112
1;605;1115.25;3.7175;1365.6;-1413.8;546.948;0;0.347878
1;610;1197.64;3.99214;1308.65;555.909;982.62;0;0.464551
1;666;942.359;3.1412;1315.86;-1026.93;746.455;0;0.624476
