model;t_birth;lifespan;w_star;zi;x;y;z;ksi
1;0;500;4.31083;1363.23;500;0;0;0.554984
1;0;478.802;4.68204;1350.95;-897.442;-750.603;0;0.695888
1;0;495.464;4.93197;1305.96;668.847;714.23;0;0.441382
1;0;401.378;3.52067;1345.23;-616.401;234.145;0;0.306166
1;0;479.881;4.69821;1312.83;-907.859;-56.3649;0;0.31232
1;0;402.226;3.5334;1306.33;-118.928;-461.692;0;0.385806
1;0;308.831;2.13246;1316.96;320.276;-516.186;0;0.39265
1;0;390.645;3.35967;1312.57;-867.901;993.384;0;0.440059
1;0;471.408;4.57111;1309.73;290.046;485.459;0;0.603258
1;0;431.51;3.97264;1303.14;806.217;138.333;0;0.539987
1;0;436.323;4.04485;1360.01;-139.172;748.374;0;0.342325
1;0;334.373;2.51559;1381.79;642.385;-848.07;0;0.511675
1;0;479.424;4.69136;1319.04;-669.409;-408.88;0;0.526848
1;309;380.066;3.201;1342.09;410.959;-323.472;0;0.345389
1;335;421.27;3.81905;1381.61;301.682;-895.048;0;0.439214
1;391;325.009;2.37514;1332.3;830.312;-602.032;0;0.440175
1;402;483.624;4.75436;1390.59;-489.79;-47.303;0;0.51153
1;403;323.004;2.34506;1357.74;-546.15;707.259;0;0.32272
1;432;385.803;3.28705;1399.71;739.51;-12.7958;0;0.579942
1;437;396.349;3.44523;1312.71;-499.502;-962.492;0;0.318678
1;455;447.944;4.21916;1313.17;-990.811;795.774;0;0.677833
1;472;416.966;3.75448;1314.78;106.901;707.515;0;0.630359
1;479;364.862;2.97293;1305.66;-952.662;-928.527;0;0.468234
1;480;432.8;3.992;1382.55;389.321;363.15;0;0.412143
1;480;321.239;2.31858;1375.83;-257.45;-615.581;0;0.533026
1;496;300.696;2.01043;1328.74;-940.979;-500.147;0;0.632721
1;690;422.257;3.83386;1305.28;235.99;-278.402;0;0.452576
1;717;371.087;3.06631;1385.11;643.216;-615.663;0;0.476838
1;727;399.862;3.49792;1388.52;-452.204;953.82;0;0.311895
1;757;429.534;3.94301;1375.91;262.913;-944.103;0;0.406796
1;797;305.704;2.08557;1308.56;-884.736;-179.731;0;0.323122
1;802;336.329;2.54494;1356.61;-38.9616;255.929;0;0.574308
1;818;423.129;3.84694;1340.18;938.48;837.342;0;0.443937
1;834;373.332;3.09998;1339.79;-500.411;462.849;0;0.686213
1;844;353.325;2.79988;1302.56;-887.288;-634.928;0;0.340483
1;886;392.21;3.38315;1349.2;764.543;-145.237;0;0.40484
1;889;427.623;3.91434;1333.01;986.297;288.899;0;0.657698
1;903;381.968;3.22952;1302.72;-415.711;-329.859;0;0.322664
1;913;486.274;4.79411;1316.22;91.5137;960.191;0;0.52438
